0:0:0:0:0:0:0:1 - - [05/Oct/2017:21:36:15 +0800] "POST /app-web-console/user/get.html HTTP/1.1" 200 377
0:0:0:0:0:0:0:1 - - [05/Oct/2017:21:36:20 +0800] "GET /app-web-console/org/toOrg.html HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [05/Oct/2017:21:36:24 +0800] "GET /app-web-console/role/toRole.html HTTP/1.1" 200 4089
0:0:0:0:0:0:0:1 - - [05/Oct/2017:21:36:24 +0800] "GET /app-web-console/view/role/role.js.jsp HTTP/1.1" 200 5117
0:0:0:0:0:0:0:1 - - [05/Oct/2017:21:36:24 +0800] "POST /app-web-console/role/list.html HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [05/Oct/2017:21:36:31 +0800] "POST /app-web-console/role/get.html HTTP/1.1" 200 222
0:0:0:0:0:0:0:1 - - [05/Oct/2017:21:36:35 +0800] "GET /app-web-console/college/toCollege.html HTTP/1.1" 200 3624
0:0:0:0:0:0:0:1 - - [05/Oct/2017:21:36:35 +0800] "GET /app-web-console/view/college/college.js.jsp HTTP/1.1" 200 5115
0:0:0:0:0:0:0:1 - - [05/Oct/2017:21:36:35 +0800] "POST /app-web-console/college/list.html HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [05/Oct/2017:21:36:40 +0800] "POST /app-web-console/college/get.html HTTP/1.1" 200 222
0:0:0:0:0:0:0:1 - - [05/Oct/2017:21:36:44 +0800] "GET /app-web-console/admin_publicity/toAdmin_Publicity.html HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [05/Oct/2017:21:36:53 +0800] "GET /app-web-console/answer/toAnswer.html HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [05/Oct/2017:21:36:58 +0800] "GET /app-web-console/type/toList.html HTTP/1.1" 200 2932
0:0:0:0:0:0:0:1 - - [05/Oct/2017:21:36:58 +0800] "GET /app-web-console/view/type/type.js.jsp HTTP/1.1" 200 4204
0:0:0:0:0:0:0:1 - - [05/Oct/2017:21:36:58 +0800] "POST /app-web-console/type/list.html HTTP/1.1" 200 506
